,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4198,3.330093,2.2327313,3.0011039,0.94546187,0.0442655,4.361,74.719315,5.4560723,32.26629,0.21319558,0.19221254,0.0640756,0.34302014,0.16345751,0.54706025,0.32967958,0.059840363,0.73374546,0.3204199,1.6805793,1.6642478,0.96122724
4199,3.581194,2.1707,3.1030712,0.9153624,0.04870448,4.264305,72.76944,5.782497,31.546719,0.40658107,0.20167407,0.11804774,0.2962512,0.4352554,0.6974249,0.4484884,0.037459873,0.7967963,0.30999666,1.3930658,1.8323333,0.9624875
4200,3.7213926,0.5932884,5.046699,0.79344714,0.034432806,2.4845448,75.15477,5.2571487,35.539696,0.55329746,0.02745816,0.83899033,0.0879654,-0.9550084,-0.82171714,0.5643742,0.38041902,0.42635706,0.26531067,0.7493205,3.9574966,0.19584137
4201,3.2049036,1.0336454,4.614177,0.8592337,0.033849422,3.9023504,72.60861,4.5218987,34.30587,0.22240408,0.010856961,0.47084644,0.1387423,0.8056835,0.7917402,0.79755306,0.17815009,0.71376806,0.042544723,2.099071,2.1279516,0.6551486
4202,3.2662692,1.37133,5.0918612,0.5714927,0.042487834,2.437828,71.97944,5.333901,33.052685,0.6370557,0.008090698,0.8756134,0.11582592,-0.6513726,0.5553113,0.34589678,0.08885256,0.47428554,0.36672637,1.3275342,3.1334188,0.5035608
4203,3.720119,1.0339019,6.630435,0.9831402,0.01879645,4.1518974,96.75185,4.802429,33.590973,0.5478792,0.17030402,0.06334498,0.014767899,-0.13401365,-0.46986634,0.45566493,0.23621269,0.7129255,0.060083445,1.5490189,4.609502,0.30658364
4204,3.1127157,-0.5813327,7.339053,0.7828516,0.028612113,3.5929298,85.42756,4.3891616,34.74862,0.63549685,0.22718722,0.89651144,0.013889893,-0.8516474,-0.81772864,0.87940747,0.06512206,0.3565868,0.17782773,1.5202603,3.2008004,0.38814262
4205,3.332233,-0.5807245,4.463309,0.82050514,0.026039405,2.6098871,85.483505,4.838161,36.11419,0.82152724,0.30971244,0.53971595,0.008483566,-0.5123904,-0.054846168,0.9756728,0.2779844,0.41765505,0.103469476,0.9133989,4.231799,0.55460525
4206,3.2850132,-0.023305535,4.872418,0.86782366,0.031287745,2.662696,83.658485,4.897526,35.742302,0.90143937,0.23587519,0.54341984,0.0059211194,-0.90822804,-0.32076335,0.96332645,0.16197583,0.2872187,0.072814606,0.8800228,3.4662552,0.60300505
4207,3.691914,0.50106263,2.7674937,0.62094223,0.0295019,4.9802666,83.10046,5.4722047,33.402054,0.3025353,0.04917895,0.04905172,0.005123751,0.0131706,-0.922052,0.54407644,0.29605976,0.22891027,0.17266616,2.1788018,3.4845943,0.8937561
4208,3.2260036,0.26158714,7.181408,0.9925245,0.018659785,2.534686,87.25412,3.772581,34.30288,0.48473713,0.23850112,0.8658175,0.11474263,0.48714852,0.94615495,0.38758036,0.05952768,0.776555,0.26522854,3.072671,3.6306183,0.16379586
4209,3.7126803,0.6220758,5.2047496,0.6311971,0.029226648,3.4085102,90.57666,5.1983624,34.286976,0.43638024,0.109946206,0.52204895,0.09288725,-0.73483175,0.92702866,0.46060196,0.12013701,0.41846818,0.11030049,1.0300103,1.960232,0.93213594
4210,3.2892013,0.121003866,4.945595,0.89803064,0.06430723,3.3858156,85.848366,5.1922655,34.283592,0.4362968,0.26457456,0.3715039,0.27900094,0.9364028,0.02797532,0.1522494,0.059567977,0.68463933,0.16489494,2.1625462,4.3624125,0.30422303
4211,3.0850763,0.3610816,4.625768,0.9645084,0.06627722,3.2222652,87.04072,5.1765394,34.17215,0.5043993,0.19793966,0.32248962,0.2524406,0.97980595,0.65577936,0.16399142,0.08322156,0.8228895,0.21217647,2.1053972,3.1061397,0.14944075
