Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
5006,3.3083181,0.038757086,1.1372504,0.5898781,0.06095528,3.577548,88.44458,5.477546,30.654858,0.16638768,0.09478478,0.12118364,0.03786959,-0.9730092,0.5845821,0.7212978,0.88067067,0.61754775,0.5431695,2.141541,4.875855,0.31188613,-0.3514850810885858,0.14413478035848754
5007,4.646557,2.6866798,7.1076555,0.8281162,0.028230693,4.510068,84.136765,5.1336,28.290045,0.73863035,0.091399625,0.015217257,0.20089445,-0.98391765,-0.40661764,0.45890006,0.7315373,0.6818113,0.37056175,0.9562093,7.0936217,0.6984335,-0.7138828350184617,-0.10940589282264339
5008,4.848137,0.8423395,4.187266,0.74894035,0.038236108,3.647603,91.720764,5.9346075,31.515114,0.25589064,0.26442376,0.7051119,0.011174653,-0.95600605,-0.2116347,0.6957667,0.30407858,0.85442877,0.39660522,3.0996711,8.483207,0.6638285,-0.6225592746492626,-0.02905427956781426
5009,3.8889575,1.972502,8.01215,0.84430754,0.015578002,4.152235,78.94771,3.3659334,27.588085,0.18826139,0.050458487,0.77549595,0.08704979,0.17723894,-0.08594632,0.6029003,0.030920953,0.751916,0.39545825,1.210931,8.574867,0.34794873,0.09777481568394697,-0.014454388558604035
5010,3.7415252,0.59232974,5.817087,0.8766558,0.037913147,3.3475266,72.60832,4.9039316,27.475567,0.9044707,0.21203263,0.58196735,0.13977891,0.089147806,0.20960939,0.47330308,0.028660879,0.07345603,0.04560906,2.6742969,8.572571,0.21638939,0.08865167112788461,0.11358423759737786
5011,3.5244274,0.56629705,6.9852676,0.81840837,0.04402777,3.6514359,88.123314,3.7041912,28.42815,0.2196465,0.20470649,0.927279,0.2032404,0.25119293,0.603549,0.76061654,0.033961937,0.25417408,0.036412284,1.9429232,9.348892,0.20463286,0.251192881352134,0.16239416632602144
5012,3.7282643,1.3424661,6.173431,0.70833737,0.041854225,4.552826,76.93065,5.143243,27.481441,0.18257584,0.17872421,0.9165193,0.283263,0.87635624,-0.2901007,0.96449137,0.22986484,0.54442924,0.14348373,1.9008162,7.9764395,0.2485132,0.8065152188399153,-0.04451088723181437
5013,3.5422158,2.0807953,4.173553,0.701292,0.030841108,3.018055,97.67825,5.1470428,35.294266,0.35326552,0.06589681,0.6536359,0.050546657,-0.093079925,0.2083056,0.047524154,0.13475251,0.6684608,0.103103854,1.767078,1.7243342,0.96694905,-0.0432391919204145,0.08800645292054134
5014,3.70619,0.7268832,5.892716,0.8921764,0.03204345,4.2728043,76.28737,4.3930545,32.45057,0.9734503,0.23832807,0.75183964,0.055764575,-0.47258747,-0.16372514,0.47204804,0.025903214,0.11176585,0.18546286,2.9868703,6.984818,0.19536479,-0.3331113581319354,-0.08205292744351055
5015,3.750668,1.0917888,4.3794923,0.68871623,0.023533778,4.48495,71.89231,5.561773,30.663145,0.094593704,0.16835704,0.6511344,0.0031600916,-0.44294506,0.17029214,0.6715994,0.29052055,0.050855514,0.055063937,1.3864152,4.985982,0.6158257,-0.16219114889909203,0.07015805763431264
5016,3.5743103,1.4970231,3.7873685,0.7001633,0.06620908,4.915785,74.13717,5.36493,31.85849,0.38273725,0.071004964,0.59533745,0.0052633183,-0.7624478,0.8249353,0.43423417,0.23575361,0.27546751,0.34519386,1.0306865,4.008128,0.6162451,-0.22387513170658052,0.6309715563090836
