event,lnBayes
GW150914,0.05057474
GW150914,0.07492594
GW150914,0.16061078
GW150914,0.32732353
GW150914,0.058512192
GW150914,0.23105723
GW150914,0.05750473
GW150914,0.027431466
GW150914,0.06726312
GW150914,0.10223768
GW150914,0.21732517
GW150914,0.18275979
GW150914,0.19233131
GW150914,0.049834758
GW150914,0.0860153
GW150914,0.08631792
GW150914,0.039277986
GW150914,0.018609453
GW150914,0.018873163
GW150914,0.02587224
GW150914,0.019432992
GW150914,0.03704262
GW150914,0.3143159
GW150914,0.32115558
GW150914,0.014303186
GW150914,0.016180977
GW150914,0.01727487
GW150914,0.01829148
GW150914,0.015819054
GW150914,0.7126427
GW150914,1.0266651
GW150914,0.15918532
GW150914,0.07132817
GW150914,0.09688468
GW150914,1.8563571
GW150914,0.018027738
GW150914,1.1142979
GW150914,0.038442533
GW150914,0.032740183
GW150914,0.014304713
GW150914,0.012831621
GW150914,0.13217117
GW150914,0.17269665
GW150914,0.28268334
GW150914,0.12909698
GW150914,0.04424235
GW150914,0.15661146
GW150914,0.0837988
GW150914,0.09461074
GW150914,0.16701227
GW150914,0.041101955
GW150914,0.02919958
GW150914,0.07066015
GW150914,0.12452215
GW150914,0.16070892
GW150914,0.25212908
GW150914,0.038971454
GW150914,0.029167736
GW150914,0.06625416
GW150914,0.114870526
GW150914,0.2794855
GW150914,0.031349245
GW150914,0.024159437
GW150914,0.014307887
GW150914,0.015308385
GW150914,2.9759812
GW150914,1.6564074
GW150914,1.6184106
GW150914,0.011753005
GW150914,0.34810534
GW150914,0.024867725
GW150914,0.021798655
GW150914,0.024407959
GW150914,0.3637962
GW150914,0.07156979
GW150914,0.06813052
GW150914,0.017327357
GW150914,0.33844283
GW150914,0.21610889
GW150914,0.2803339
GW150914,0.13557765
GW150914,0.098877944
GW150914,0.21185638
GW150914,0.041551597
GW150914,0.029564906
GW150914,1.0810452
GW150914,0.055510525
GW150914,0.090492316
GW150914,0.044395503
GW150914,0.020977065
GW150914,0.03789715
GW150914,0.25209284
GW150914,0.093135305
GW150914,0.1883707
GW150914,0.053682853
GW150914,0.09559149
GW150914,0.1374922
GW150914,0.030704958
GW150914,0.19296448
GW150914,0.4501819
GW150914,0.3806253
GW150914,0.021638848
GW150914,0.024102762
GW150914,0.026006747
GW150914,0.3046689
GW150914,0.10746485
GW150914,0.40245762
GW150914,0.38773826
GW150914,0.38773826
GW150914,0.050707437
GW150914,0.15804538
GW150914,0.60190064
GW150914,0.09796341
GW150914,0.2476015
GW150914,0.035436653
GW150914,0.021722605
GW150914,0.016293459
GW150914,0.032503188
GW150914,0.050291594
GW150914,0.06622605
GW150914,0.116805576
GW150914,0.16891666
GW150914,0.20419843
GW150914,0.035513856
GW150914,0.06628082
GW150914,0.09773641
GW150914,0.15442324
GW150914,0.2060456
GW150914,0.6428699
GW150914,0.040947493
GW150914,0.1597948
GW150914,0.15860422
GW150914,0.08708866
GW150914,0.026545536
GW150914,0.024271023
GW150914,0.31168774
GW150914,0.6390448
GW150914,0.03422539
GW150914,0.06059354
GW150914,0.08936123
GW150914,0.06927963
GW150914,0.12157295
GW150914,0.10439105
GW150914,0.1896281
GW150914,0.100689396
GW150914,0.44792652
GW150914,0.44792652
GW150914,0.06489937
GW150914,0.08306689
GW150914,0.42966413
GW150914,0.07360324
GW150914,0.13509743
GW150914,0.1560188
GW150914,0.12925045
GW150914,0.027931111
GW150914,0.081738435
GW150914,0.03937392
GW150914,0.019916086
GW150914,0.043922503
GW150914,1.2904439
GW150914,0.21813722
GW150914,0.21813722
GW150914,0.1916061
GW150914,0.23731872
GW150914,0.23731872
GW150914,0.03150566
GW150914,0.017793082
GW150914,0.020340893
GW150914,0.020784434
GW150914,0.048502386
GW150914,0.030455338
GW150914,0.019369856
GW150914,0.10651721
GW150914,0.14519696
GW150914,0.052486375
GW150914,0.03652096
GW150914,0.035574485
GW150914,0.034237366
GW150914,0.026288603
GW150914,0.15799814
GW150914,0.04887016
GW150914,0.1943173
GW150914,0.20255621
GW150914,0.09658526
GW150914,0.4040169
GW150914,0.35041794
GW150914,0.47707266
GW150914,0.12667371
GW150914,0.25625798
GW150914,0.15577745
GW150914,0.19778965
GW150914,0.034340464
GW150914,0.49872914
GW150914,0.014477682
GW150914,0.96530724
GW150914,0.022126708
GW150914,0.1344923
GW150914,0.33924153
GW150914,0.24877739
GW150914,0.059356216
GW150914,0.15452047
GW150914,0.01814364
GW150914,0.019435445
GW150914,0.012907999
GW150914,1.198292
GW150914,2.1733665
GW150914,0.47703177
GW150914,0.24916457
GW150914,0.038477406
GW150914,0.0617537
GW150914,0.17143105
GW150914,0.09106112
GW150914,0.03508946
GW150914,0.47837633
GW150914,0.21616362
GW150914,0.11615888
GW150914,0.0227995
GW150914,0.020063316
GW150914,0.02831232
GW150914,0.0729322
GW150914,0.93902254
GW150914,0.08702037
GW150914,1.5172834
GW150914,0.33617076
GW150914,0.019162295
GW150914,0.09008213
GW150914,0.21608363
GW150914,0.105282776
GW150914,0.16383457
GW150914,0.03226521
GW150914,0.022871275
GW150914,0.08995869
GW150914,0.027206892
GW150914,0.028632216
GW150914,0.048713937
GW150914,0.050224822
GW150914,0.022376087
GW150914,0.024795046
GW150914,0.080611266
GW150914,0.18875319
GW150914,0.12365871
GW150914,0.076293945
GW150914,0.21187308
GW150914,0.15538308
GW150914,0.041893926
GW150914,0.2625065
GW150914,0.08076094
GW150914,0.07941532
GW150914,0.07582563
GW150914,0.31978896
GW150914,0.12376352
GW150914,0.039678153
GW150914,0.12721351
GW150914,0.16990517
GW150914,2.3834257
GW150914,0.0527811
GW150914,0.05278925
GW150914,0.016790377
GW150914,0.018880298
GW150914,0.028167803
GW150914,1.5074611
GW150914,0.15031055
GW150914,0.063905254
GW150914,0.12044098
GW150914,0.18758205
GW150914,0.08076907
GW150914,0.2561393
GW150914,0.44847387
GW150914,0.17451097
