event,lnBayes
GW150914,1.0561182
GW150914,0.9728743
GW150914,1.2632337
GW150914,0.67458266
GW150914,1.2670072
GW150914,0.9141631
GW150914,0.49921438
GW150914,2.4323616
GW150914,0.6098406
GW150914,0.9835888
GW150914,1.2995363
GW150914,1.1328002
GW150914,0.7855563
GW150914,0.7855563
GW150914,1.6035709
GW150914,1.4995613
GW150914,0.21852101
GW150914,0.94956434
GW150914,2.1749487
GW150914,2.4846704
GW150914,0.23620278
GW150914,1.9392071
GW150914,-0.050217427
GW150914,2.2317698
GW150914,1.6353812
GW150914,1.4262459
GW150914,1.46978
GW150914,1.5052397
GW150914,1.2055784
GW150914,0.22754279
GW150914,1.7964437
GW150914,1.7815456
GW150914,-0.0041593267
GW150914,1.7372502
GW150914,1.545875
GW150914,2.6441333
GW150914,-0.29271108
GW150914,0.5904427
GW150914,0.06941165
GW150914,0.951196
GW150914,1.2016213
GW150914,1.417775
GW150914,1.417775
GW150914,0.34812975
GW150914,1.6123433
GW150914,0.68366504
GW150914,0.1778071
GW150914,2.585707
GW150914,1.792613
GW150914,2.3645513
GW150914,-0.33014336
GW150914,1.5343984
GW150914,3.266536
GW150914,-0.29792944
GW150914,-0.32942086
GW150914,0.9562539
GW150914,-0.1265165
GW150914,1.1449043
GW150914,0.13064493
GW150914,1.8595916
GW150914,2.6316566
GW150914,-0.013986612
GW150914,2.2114918
GW150914,-0.22741611
GW150914,0.5106049
GW150914,1.663481
GW150914,0.0518344
GW150914,1.7496749
GW150914,0.8613133
GW150914,0.67208594
GW150914,0.6328299
GW150914,1.287005
GW150914,1.3034738
GW150914,1.7460223
GW150914,2.7653747
GW150914,4.0527534
GW150914,4.134155
GW150914,3.585501
GW150914,2.9912262
GW150914,1.4301196
GW150914,1.1052825
GW150914,0.610811
GW150914,0.65072066
GW150914,0.48601025
GW150914,0.53564894
GW150914,0.7685381
GW150914,0.30242112
GW150914,1.1893997
GW150914,1.2467713
GW150914,0.27079
GW150914,0.08196702
GW150914,0.31409407
GW150914,0.37428156
GW150914,0.3261321
GW150914,0.4602871
GW150914,1.7951864
GW150914,0.50357354
GW150914,0.86493087
GW150914,0.26629874
GW150914,1.1302924
GW150914,0.8501819
GW150914,0.3074942
GW150914,0.54835856
GW150914,1.6143962
GW150914,1.3919089
GW150914,1.3606284
GW150914,1.1918449
GW150914,1.2554054
GW150914,0.33093706
GW150914,1.4359419
GW150914,0.8500807
GW150914,0.51737005
GW150914,0.53720045
GW150914,2.101193
GW150914,0.38958406
GW150914,0.97890055
GW150914,1.6571889
GW150914,0.39179093
GW150914,0.47033596
GW150914,1.6353071
GW150914,0.21013385
GW150914,1.4923468
GW150914,0.73581636
GW150914,1.4863012
GW150914,0.51706845
GW150914,0.57284075
GW150914,3.4266615
GW150914,0.22809838
GW150914,0.22809838
GW150914,1.2563972
GW150914,0.70807123
